Strategy,BBOX,100_points_worldwide,100k_points_worldwide,10_points_worldwide,10k_points_worldwide,1k_points_worldwide,1m_points_worldwide
CachedGriddedAndBoundMappablePoint,"[-180, -90, 180, 90]",0.0025659999999999997,0.374978,0.001449,0.045023999999999995,0.008003999999999999,3.640545
CachedGriddedAndBoundMappablePoint,"[113, -43, 153, -10]",0.0013599999999999999,0.016878,0.001292,0.004706999999999999,0.0017989999999999998,0.18065
CachedGriddedAndBoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.0013059999999999999,0.00804,0.0012959999999999998,0.00234,0.001522,0.151229
GriddedMappablePoint,"[-180, -90, 180, 90]",0.003609,1.763296,0.001695,0.243142,0.025134,9.685617
GriddedMappablePoint,"[113, -43, 153, -10]",0.0036049999999999997,1.787198,0.001696,0.23918399999999998,0.048201999999999995,9.749564
GriddedMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.0036209999999999997,1.769886,0.0016699999999999998,0.23884899999999998,0.024474,9.667593
BoundMappablePoint,"[-180, -90, 180, 90]",0.002823,2.181544,0.0016929999999999998,0.18856499999999998,0.015371999999999999,23.660406
BoundMappablePoint,"[113, -43, 153, -10]",0.0015739999999999999,0.032251999999999996,0.0014889999999999999,0.004758,0.001916,0.421479
BoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.001511,0.008487999999999999,0.001501,0.002157,0.001704,0.06917
MappablePoint,"[-180, -90, 180, 90]",0.0024909999999999997,1.9427789999999998,0.001444,0.174952,0.014702999999999999,22.549333
MappablePoint,"[113, -43, 153, -10]",0.002457,1.952697,0.001312,0.174486,0.014636999999999999,22.620845
MappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.002467,1.929174,0.0013189999999999999,0.174254,0.014582,22.431223
GriddedAndBoundMappablePoint,"[-180, -90, 180, 90]",0.003276,0.8006479999999999,0.002034,0.07191,0.007561,9.301527
GriddedAndBoundMappablePoint,"[113, -43, 153, -10]",0.00187,0.013588999999999999,0.001777,0.004933,0.002336,0.221945
GriddedAndBoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.0017749999999999999,0.006647,0.001762,0.002768,0.002,0.028464
