Strategy,BBOX,100_points_brisbane,100k_points_brisbane,10_points_brisbane,10k_points_brisbane,1k_points_brisbane,1m_points_brisbane
CachedGriddedAndBoundMappablePoint,"[-180, -90, 180, 90]",0.0016129999999999999,0.051720999999999996,0.0014739999999999998,0.008801,0.002528,0.416417
CachedGriddedAndBoundMappablePoint,"[113, -43, 153, -10]",0.002603,0.041969,0.001465,0.0126,0.003978,1.102359
CachedGriddedAndBoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.0016489999999999999,0.044251,0.001537,0.007871,0.003132,0.370168
CachedGriddedAndBoundMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",0.004079,0.057946,0.001682,0.01461,0.012535,0.53694
CachedGriddedAndBoundMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0.001982,0.027707,0.0014039999999999999,0.012582999999999999,0.005045,1.017956
CachedGriddedAndBoundMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0.001615,0.018532,0.0013289999999999999,0.003584,0.001606,0.197023
CachedGriddedAndBoundMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0.001346,0.001992,0.001341,0.0015769999999999998,0.001403,0.007148
CachedGriddedAndBoundMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",0.001362,0.001411,0.0013319999999999999,0.001475,0.0014039999999999999,0.00153
GriddedMappablePoint,"[-180, -90, 180, 90]",0.001927,0.397113,0.001669,0.038983,0.004572,4.090516
GriddedMappablePoint,"[113, -43, 153, -10]",0.001961,0.61625,0.0016699999999999998,0.052957,0.0045309999999999994,7.460015
GriddedMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.0019679999999999997,0.612769,0.001709,0.056151,0.004607,7.653103
GriddedMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",0.003927,0.672905,0.0019169999999999999,0.064839,0.008973,7.880932
GriddedMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0.005124999999999999,0.701147,0.00196,0.09177099999999999,0.025991999999999998,7.853629
GriddedMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0.005534,1.3390849999999999,0.0019429999999999998,0.37945199999999996,0.038987999999999995,11.730099
GriddedMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0.00579,4.658311,0.001945,0.44148699999999996,0.040160999999999995,31.027634
GriddedMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",0.005468,5.123185,0.001941,0.45138399999999995,0.041006,53.986849
BoundMappablePoint,"[-180, -90, 180, 90]",0.0050409999999999995,4.241513,0.001973,0.38641,0.032206,45.026023
BoundMappablePoint,"[113, -43, 153, -10]",0.003243,2.452639,0.0018449999999999999,0.226773,0.019468,27.987956
BoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.0039559999999999994,3.548756,0.0018969999999999998,0.334794,0.027083,38.079638
BoundMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",0.004481,4.119482,0.001949,0.380803,0.03181,45.51683
BoundMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0.002137,0.46967899999999996,0.0016259999999999998,0.039427,0.005723,5.578197
BoundMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0.0015919999999999999,0.018767,0.001563,0.0036869999999999997,0.001828,0.221992
BoundMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0.001596,0.00214,0.001566,0.001691,0.001958,0.006999
BoundMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",0.001581,0.0016099999999999999,0.001562,0.001584,0.001689,0.001874
MappablePoint,"[-180, -90, 180, 90]",0.0044009999999999995,4.184129,0.0019399999999999999,0.36601999999999996,0.032254,43.709213
MappablePoint,"[113, -43, 153, -10]",0.0042639999999999996,4.273528,0.0015609999999999999,0.369718,0.030706999999999998,43.602512
MappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.004247,4.143703,0.00157,0.36360899999999996,0.052392,43.826859999999996
MappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",0.004288,6.057883,0.001823,0.362662,0.031159,44.11482
MappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0.004279,6.296146,0.001553,0.358284,0.030615999999999997,44.325954
MappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0.004287,6.047068,0.0015539999999999998,0.359062,0.030747,43.579026999999996
MappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0.004481,6.159327,0.0018059999999999999,0.3588,0.030802999999999997,44.020576
MappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",0.004319,4.065692,0.001544,0.357082,0.030934,44.036255
GriddedAndBoundMappablePoint,"[-180, -90, 180, 90]",0.002237,0.49292899999999995,0.001957,0.044667,0.005273,4.485728
GriddedAndBoundMappablePoint,"[113, -43, 153, -10]",0.0021579999999999998,0.371285,0.0020239999999999998,0.031523999999999996,0.004066,4.05747
GriddedAndBoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.00262,0.555674,0.002079,0.051907999999999996,0.005203,6.822424
GriddedAndBoundMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",0.004593,0.725232,0.002277,0.066851,0.010336,8.61324
GriddedAndBoundMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0.002428,0.086175,0.001936,0.013548999999999999,0.005294999999999999,0.969258
GriddedAndBoundMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0.001831,0.009328999999999999,0.0018169999999999998,0.0044789999999999995,0.002178,0.065621
GriddedAndBoundMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0.0024,0.0026379999999999997,0.001823,0.00209,0.001941,0.006666
GriddedAndBoundMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",0.0018599999999999999,0.001896,0.001831,0.001963,0.002234,0.00224
